White Herb,"Vend, Whobuy","Pet Evolution, Alchemy / Brewing / Potions",x50 for Angeling Pet Evolution,509,,,,No
White Mask,NPC,Misc,,7568,,,,No
White Potion,Keep,"Consumable, Pet Food",,504,0,0,,Yes
Wig,Junk,Pet Accessory,Dokebi Pet accessory,10005,"25,000",,,No
Wild Flower,,Pet Accessory,Orc Warror pet accessory,10009,,,,No
Wild Rose Card,Vend,Pet Evolution,x10 for Eddga Pet Evolution,4257,,,,No
Will of Red Darkness,,,,7566,,,,No
Will of the Darkness,Vend,Pet Evolution,x200 for Hodremlin Pet Evolution,7340,"5,000",0,455,No
Wind of Verdure,Vend,Skill Use,,992,,,620,No
Wing of Dragonfly,"Keep, Vend","Official Hat Quest, Server Hat Quest","x500 for Wonder Nutshell, x350 for Bunny Ears Hat",7064,350,0,322,No
Wing of Red Bat,NPC,"Cooking, Job Quest",Knight Job Quest,7006,,,104,No
Witch Starsand,"Vend, Whobuy","Alchemy / Brewing / Potions, Cooking",Used for creating Slim Potions,1061,,,300,No
Witherless Rose,"Keep, NPC",Official Hat Quest,x3 for Mystic Rose,748,0,0,"7,500",Yes
Wizard Hat [0],"Keep, Vend",Official Hat Quest,"x1 for Mage Hat, x1 for Magician Hat",2252,,,12,No
Wolf Claw,NPC,Misc,,920,,,35,No
Wooden Gnarl,"Keep, Vend",Server Hat Quest,x450 for Well-Chewed Pencil,7222,,,290,No
Wooden Heart,"Vend, Whobuy",Server Hat Quest,"x20 for Pirate Dagger, x500 for Umbala Spirit",7189,,,421,No
Worm Peeling,NPC,Misc,,955,,,121,No
Worn Out Page,NPC,Dungeon Quest,,1097,,,587,No
Worn Out Scroll,NPC,Misc,,618,,,31,No
Worn-out Kimono,NPC,Misc,,7153,,,365,No
Worn-out Magic Scroll,"Keep, Vend",Official Hat Quest,,7099,,,478,No
Worn-out Prison Uniform,Keep,Official Hat Quest,x1500 for Striped Hairband,1099,,,421,No
Wraith Card,Vend,"Pet Evolution, Card","x10 for Dark Lord Pet Evolution, x5 for Dark Illusion Pet Evolution",4190,,,12,No
Yam,"Vend, Whobuy",Cooking,,529,,,111,No
Yao Jun Card (Hyegun),"Keep, Vend",Pet Evolution,x1 for Yao Jun Pet Evolution (Hyegun),4328,,,12,No
Yarn,"Keep, NPC",Official Hat Quest,x500 for Beanie,7038,,,62,No
Yellow Bijou,"Keep, NPC",Official Hat Quest,"x7 for Magistrate Hat [1], x7 for A-Yam Hat [1]",7448,0,0,549,No
Yellow Gemstone,"Keep, Vend","Skill Use, Job Quest",Wizard Job Quest,715,,,372,No
Yellow Herb,"Keep, NPC","Pet Evolution, Pet Food, Alchemy / Brewing / Potions","x100 for Chaotic Baphomet Jr Pet Evolution, x200 for Metaller Pet Evolution",508,,,24,No
Yellow Potion,NPC,Pet Evolution,-,503,0,0,111,Yes
Yellow Spice,"Keep, NPC",Cooking,+10 DEX Food,7452,0,0,620,"Yes, NPC only item"
Yellow Vital Flower,NPC,Pet Food,-,6110,0,0,620,"Yes, NPC only item"
Yggdrasil Berry,"Keep, Vend, Whobuy",Cooking,+10 DEX Food,607,,,"3,100",No
Yggdrasil Leaf,Keep,"Consumable, Pet Evolution, Cooking",x3 for Mastering Pet Evolution,610,0,0,"2,480",Yes
Yggdrasil Seed,"Vend, Whobuy","Cooking, Valuable Consumable",-,608,,,"3,100",No
Yoyo Card,Vend,"Pet Evolution, Card",x1 for Choco Pet Evolution,4051,,,12,No
Yoyo Doll,"Vend, NPC","Pet Evolution, Dungeon Quest","x2 for Choco Pet Evolution, xVaries for Sign Quest",753,,,"3,720",No
Zargon,NPC,Misc,-,912,0,0,297,Yes
Zenorc Card,"Card Recycler, Vend",Card,-,4096,,,12,No
Zenorc's Fang,"Vend, Whobuy",Alchemy / Brewing / Potions,,1044,,,132,No
Zhu Po Long Card (Dancing Dragon),Vend,"Pet Evolution, Card",x10 for Bascojin Pet Evolution,4272,,,12,No
Zircon,NPC,Misc,-,729,0,0,"3,720",Yes
,,,,,,,,
Dead Branch (DB),"Vend, Whobuy",Consumable,-,604,"6,000","6,000",31,
Diamond Ring [0],NPC,Equipment,-,2613,0,0,"12,500",Yes
Gold Ring [0],NPC,Equipment,-,2610,,,"7,500",No
Green Salad,Vend,Consumable,-,12065,,,"2,000",No
Stiletto [2],NPC,Equipment,-,1216,0,0,"7,200",Yes
Khukri [0],NPC,Equipment,-,13006,"60,000",0,"25,000",No
Pincher of Bettle,NPC,Misc,-,7202,0,0,179,No
Expanded Token Fragment,"Whobuy, Vend","Server Quest Crafting, Misc",,35661,,"7,500",,No
